"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,26445,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,25932,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,26252,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,23269,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,23267,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,23535,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,23403,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,22973,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,23140,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,23150,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,23362,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,24511,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,25437,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,25703,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,26456,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,28384,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,28809,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,28478,,
"DEU","Germany","P3CG","Final consumption expenditure","020","Defence","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,28057,,
