"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1985","1985","USD","US Dollar","6","Millions",,,98670.2657,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1986","1986","USD","US Dollar","6","Millions",,,159875.5877,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1987","1987","USD","US Dollar","6","Millions",,,215937.72,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1988","1988","USD","US Dollar","6","Millions",,,242890.5615,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1989","1989","USD","US Dollar","6","Millions",,,308940.6934,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1990","1990","USD","US Dollar","6","Millions",,,291054.3362,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1991","1991","USD","US Dollar","6","Millions",,,352678.0729,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1992","1992","USD","US Dollar","6","Millions",,,307456.4419,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1993","1993","USD","US Dollar","6","Millions",,,317058.9158,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1994","1994","USD","US Dollar","6","Millions",,,410415.1373,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,548910.3591,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,617904.5354,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,685940.472,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,995990.7238,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,1013236.0941,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,1002224.7359,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,1007928.3831,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,1110970.6734,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,1640617.6761,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,1975854.5097,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,2073779.6478,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,2823986.008,,
"ESP","Spain","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,3374064.5941,,
