"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150"
"1971","30.398290634155298","18.589725494384801","5.9070525169372603","3.6262187957763699","1.21453213691711","0.78074532747268699","0.30107033252716098","11.808565139770497","12.682672977447542","2.2808337211608904","2.41168665885926","0.43378680944442305","0.47967499494552601","0.91346180438994906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2831.51098632812","2831.51098632812",,"52095.05859375",,"0.14624400768749443","125805.66559717448",,"125805.66559717448","382427.71862462617","467738.5578179686","743140.67361075676","912397.73840726132","1527950.2387401566","3787635.3575142138","97292.104149679843","297116.8794312838","398888.02886977163","573883.60881425219","758509.61332403764","1276874.1144319281","270780.32547234592","332321.30853424274","526517.29952956154","637291.06904097577","1000382.8691061669","1220562.8307276198","2147096.5201595104",,,,,,,,,,,,,,,,,,,"3.1944985228026894","1.4556849729490164","39600","48600","77000","93200","146300","178500","314000"
"1972","29.941663742065401","18.245298385620099","5.7432317733764604","3.5129983425140399","1.16507184505463","0.74440550804138195","0.28858318924903897","11.696365356445302","12.502066612243638","2.2302334308624205","2.3479264974594098","0.42066633701324807","0.45582231879234297","0.8764886558055911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2859.10888671875","2859.10888671875",,"57432.484375",,"0.15680317780731143","128106.76009927536",,"128106.76009927536","383572.95339779434","467469.21264526597","735746.814986474","900077.67178719619","1492535.7935283359","3696945.7393810414","99721.627510551029","299676.6941503227","400399.812059964","571415.95818575181","751963.14135191112","1247601.3551002578","272953.6518232752","334814.64300752216","526137.29615467775","633915.72409424197","989138.11677079415","1202781.746118451","2049703.357383193",,,,,,,,,,,,,,,,,,,"3.2552468589891306","1.4434104390896836","42800","52500","82500","99400","155100","188600","321400"
"1973","29.244401931762699","17.846580505371101","5.6413726806640598","3.4554605484008798","1.1365824937820399","0.72334492206573497","0.27074539661407498","11.397821426391598","12.205207824707042","2.18591213226318","2.3188780546188399","0.41323757171630493","0.45259952545165999","0.86583709716796498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2886.89892578125","2886.89892578125",,"64932.5546875",,"0.16847279010401101","133506.11023553176",,"133506.11023553176","390430.63480741088","476525.50885547319","753157.72298445331","922650.19377867773","1517407.0770664061","3614616.476612146","104958.9408386563","304335.76075934852","407367.45532322826","583665.25219022878","773960.97295674565","1284383.8104502128","277196.09778628679","340114.26987482293","535991.59807498276","648769.45370537776","1013813.5653511302","1230465.7616937312","2125565.7948023402",,,,,,,,,,,,,,,,,,,"3.2871362332227845","1.4372279995717214","46700","57300","90300","109300","170800","207300","358100"
"1974","28.575065612793001","17.377519607543899","5.4798069000244096","3.35948610305786","1.1315729618072501","0.73631274700164795","0.30535021424293501","11.197546005249102","11.897712707519489","2.1203207969665496","2.2279131412506099","0.39526021480560214","0.43096253275871294","0.82622274756431513",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2913.20703125","2913.20703125",,"74602.7578125",,"0.18433340136249426","138924.70902016328",,"138924.70902016328","396978.26754893415","482833.37099404365","761280.57907257404","933431.25864919089","1572034.4445415656","4242068.9662944255","110252.0914058554","311123.16410382465","413221.568974411","589129.89949595719","773780.46217609732","1275363.9421245812","284267.52619268739","346654.48327696044","540867.79315669718","654249.30646637594","1006871.2378122669","1221699.3682937634","2101626.7108215098",,,,,,,,,,,,,,,,,,,"3.1754367837779904","1.459677802387501","52400","63900","99700","120600","185600","225200","387400"
"1975","29.033657073974599","17.498674392700199","5.40859127044678","3.2843968868255602","1.0732618570327801","0.68105912208557096","0.26049989461898798","11.5349826812744","12.090083122253418","2.1241943836212198","2.2111350297927803","0.39220273494720914","0.42055922746658297","0.81276196241379206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2939.67211914062","2939.67211914062",,"86417.65625",,"0.20591340333588753","142764.08738522942",,"142764.08738522942","414496.3555621694","499636.45602502552","772152.59676505311","937787.84831707948","1532232.495446614","3719002.9719228256","112571.6131433472","329356.25509931328","431507.4208400186","606517.34521302674","789176.68653469591","1289257.9980603685","302554.3698987664","365202.06446849497","558487.19965261861","670670.28062631853","1027859.2678824062","1246154.9167901038","2057175.4588943413",,,,,,,,,,,,,,,,,,,"3.3599719497052054","1.423733849940426","62300","75200","115000","138100","211650","256600","423600"
"1976","29.355960845947301","17.549465179443398","5.3074598312377903","3.18437552452087","1.00019383430481","0.61575692892074596","0.212833106517792","11.806495666503903","12.242005348205609","2.1230843067169203","2.18418169021606","0.38443690538406405","0.40292382240295399","0.78736072778701804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2965.31591796875","2965.31591796875",,"98343.265625",,"0.22480779170193096","147523.87012737396",,"147523.87012737396","433070.4955301804","517793.00438741583","782977.01484977792","939542.80263241031","1475524.6531418297","3139796.3564736294","115796.46730483991","348347.98667294503","451497.00177182537","626411.2270671454","805547.34000505554","1290605.5749938523","319828.77219545422","385217.96484181273","579161.42058203253","689922.70608504792","1044447.7845826516","1253515.2712750903","1985696.2991383972",,,,,,,,,,,,,,,,,,,"3.6337545073709117","1.3796861086336509","71900","86600","130200","155100","234800","281800","446400"
"1977","29.632564544677699","17.7005825042725","5.32541799545288","3.18773341178894","1.00160908699036","0.62151300907134999","0.228230625391006","11.931982040405199","12.375164508819619","2.13768458366394","2.18612432479858","0.38009607791901001","0.39328238368034396","0.77337846159935397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2987.49609375","2987.49609375",,"108545.3359375",,"0.24513777934637504","148215.48292025589",,"148215.48292025589","439200.48641550576","524700.07676811621","789309.39994826971","944942.89409866545","1484539.7452559278","3382731.2359519969","115883.81586522811","353700.89606289536","458547.74597307778","633675.90579787409","810043.6813093496","1273629.5796230314","325123.28459737496","391208.56954690412","587016.82124921272","695119.2935431957","1042678.9403147935","1237263.3904439628","1936869.956422003",,,,,,,,,,,,,,,,,,,"3.6450513913597642","1.3780644879969313","79700","95900","143900","170400","255600","303300","474800"
"1978","27.221462249755898","16.283269882202099","4.9344148635864302","2.96992111206055","0.94299197196960405","0.58437323570251498","0.207848355174065","10.9381923675538","11.348855018615669","1.9644937515258802","2.0269291400909459","0.35861873626708907","0.37652488052845001","0.73514361679553908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3014.76391601562","3014.76391601562",,"128727.359375",,"0.26512037037056507","161055.08976513339",,"161055.08976513339","438415.50461726263","524500.69850959047","794712.62879332097","956641.82259655336","1518736.5669336473","3347503.5500094364","130237.26589267459","352330.3107249348","456947.71593865781","632783.43499008857","816118.13651227986","1315540.2354807821","323626.58470971236","390011.52516298671","585017.28774448007","695910.31327438157","1061404.6729290567","1276778.5422405319","2031530.0527348612",,,,,,,,,,,,,,,,,,,"3.5552732167213938","1.3913475840689453","85800","103400","155100","184500","281400","338500","538600"
"1979","26.581972122192401","15.938001632690399","4.9146080017089799","3.0054078102111799","1.0186918973922701","0.65257036685943604","0.230097740888596","10.643970489502001","11.02339363098142","1.9092001914978001","1.9867159128189098","0.36612153053283403","0.42247262597084001","0.78859415650367404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3037.12890625","3037.12890625",,"137116.078125",,"0.27773938005330084","162550.27021068335",,"162550.27021068335","432090.67511952267","518145.29440242727","798870.85865738126","977059.70328625082","1655886.431825472","3740244.9956309078","132601.33633192343","346036.05583661795","447963.90333868895","620682.01402851159","807353.02115144557","1424291.0358470904","317923.94720206544","382732.9058616031","573559.28413690848","683014.41431746108","1073308.3653560102","1349466.5391997069","2513147.3969087391",,,,,,,,,,,,,,,,,,,"3.159018997684818","1.4631733213428555","88300","106300","159300","189700","298100","374800","698000"
"1980","25.255901336669901","15.061653137206999","4.6029376983642596","2.81557297706604","0.97830706834793102","0.64330822229385398","0.234513610601425","10.194248199462901","10.45871543884274","1.7873647212982195","1.8372659087181091","0.33499884605407704","0.40879461169242898","0.74379345774650596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3061.80688476562","3061.80688476562",,"156663.359375",,"0.30800276377313091","166125.01233525338",,"166125.01233525338","419563.69210922293","500423.46264156408","764663.08191916544","935474.19109180395","1625212.7379696562","3895857.645394654","137965.15902703456","338703.92157688184","434363.5578221638","593851.97274652694","763039.55437234091","1372918.8593668786","312334.85966658121","373373.27299019584","550644.40955771483","651942.20188201149","1000965.0440250206","1275962.5763925822","2632443.9107865286",,,,,,,,,,,,,,,,,,,"3.0539937419532333","1.4868564005696803","96200","115000","169600","200800","308300","393000","810800"
"1981","24.666328430175799","14.7078647613525","4.4709825515747097","2.7243728637695299","0.94190716743469205","0.62094223499298096","0.226743519306183","9.958463668823299","10.236882209777789","1.7466096878051798","1.782465696334838","0.32096493244171109","0.39419871568679798","0.71516364812850908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3089.07104492188","3089.07104492188",,"178976.875",,"0.35000477898573745","165536.98843123487",,"165536.98843123487","408318.97239870514","486939.12776963512","740112.98691627569","901968.95846437383","1559204.7587893382","3753443.9332245095","138561.21243484929","329698.81702777505","423645.66298297502","578257.01536817756","737660.00838313263","1315400.4060743193","303710.13878165267","363709.31953814102","537135.52296284761","632277.08101956488","961415.44402658637","1212840.5824347278","2476537.6133201933",,,,,,,,,,,,,,,,,,,"3.0901859011924913","1.4784263444842303","106300","127300","188000","221300","336500","424500","866800"
"1982","24.3612060546875","14.4972534179688","4.4252429008483896","2.71569895744324","0.97497069835662797","0.65432858467102095","0.24415613710880299","9.8639526367187003","10.072010517120411","1.7095439434051496","1.740728259086612","0.32064211368560702","0.41017244756221793","0.73081456124782496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3118.2060546875","3118.2060546875",,"201213.359375",,"0.38980738248335856","165539.61528476662",,"165539.61528476662","403274.46781658957","479973.95069926465","732553.00734808703","899111.52128879144","1613962.7431987645","4041751.3006405975","139124.63167011965","326574.98493391456","416829.18653705902","565994.49340738263","720398.71581129835","1344208.4590385607","301174.38836605917","359408.27776903653","526542.10572515882","618510.60506862751","946621.37399553519","1235995.0623063655","2701334.1648165272",,,,,,,,,,,,,,,,,,,"2.9149891543315984","1.5221961689642241","117400","140100","205250","241100","369000","481800","1053000"
"1983","23.996044158935501","14.3440160751343","4.4161615371704102","2.7231390476226802","0.98476123809814498","0.658427894115448","0.24187839031219499","9.6520280838012003","9.9278545379638903","1.6930224895477299","1.7383778095245352","0.32633334398269698","0.41654950380325301","0.74288284778594993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3146.11010742188","3146.11010742188",,"221096.15625",,"0.42259456813973573","166296.59769582798",,"166296.59769582798","399046.05017898197","477072.21411781956","734392.63850661693","905697.5173446181","1637624.4343845269","4022355.3365061544","140435.54741992196","321019.88624014426","412742.10802062036","563087.759668616","722715.78808464087","1372654.3341487902","295555.14769110898","354240.23706452368","523433.13586287672","615720.17157106928","965937.64041241538","1273087.8259232715","2693598.2755547585",,,,,,,,,,,,,,,,,,,"2.8712035942410474","1.5344153907558071","124900","149700","221200","260200","408200","538000","1138300"
"1984","23.5660190582275","14.1252222061157","4.3895645141601598","2.72171831130981","1.0011299848556501","0.67651242017746005","0.24749033153057101","9.4407968521118004","9.7356576919555398","1.6678462028503498","1.7205883264541599","0.32461756467819003","0.42902208864688907","0.7536396533250791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3173.48388671875","3173.48388671875",,"244353.59375",,"0.44912938151149762","171439.52947681534",,"171439.52947681534","404014.72189841856","484324.28975438786","752544.87491574336","933220.21331877261","1716332.535487839","4242962.5987662133","145597.84142997055","323705.15404244931","417269.14346404892","571869.53651271411","737442.13277650578","1435595.8617902421","297687.0485516818","357358.05005643173","531472.68877551565","626322.8628091854","985239.48380044266","1309422.2382441589","2934789.0702765277",,,,,,,,,,,,,,,,,,,"2.7927575644248135","1.5577999054885254","133700","160500","238700","281300","442500","588100","1318100"
"1985","23.6379718780518","14.211540222168001","4.4496927261352504","2.7659206390380899","1.0115624666214","0.68263632059097301","0.25875970721244801","9.4264316558837997","9.7618474960327504","1.6837720870971604","1.7543581724166899","0.32892614603042702","0.423876613378525","0.75280275940895203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3199.7451171875","3199.7451171875",,"268341.84375",,"0.47457675910506936","176712.20590738396",,"176712.20590738396","417711.81537472416","502270.5244001642","786315.01724540105","977543.87497836398","1787554.3488978208","4572599.8661460495","149934.47152212393","333153.10634928406","431259.401188855","595086.15951243811","775041.25649849977","1478104.846981351","306167.54236764292","368328.19274510659","551438.7187722791","652792.18599790626","1042402.4997197038","1354048.6078833265","2912279.1487014405",,,,,,,,,,,,,,,,,,,"2.8037696179888223","1.5543945246815865","145300","174800","261700","309800","494700","642600","1382100"
"1986","23.1129245758057","13.932341575622599","4.3741660118103001","2.71972560882568","0.98574709892272905","0.65448081493377697","0.24764057993888899","9.1805830001831001","9.5581755638122985","1.65444040298462","1.733978509902951","0.33126628398895208","0.40684023499488797","0.73810651898384005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3230.27587890625","3230.27587890625",,"303474.25",,"0.5086829782864728","184686.44723054883",,"184686.44723054883","426864.39250131941","514622.93344084098","807849.18031786324","1004592.9202719124","1820541.2956785918","4573585.8899026131","157777.78664490767","339105.85156179796","441316.37172158534","611105.44036381389","800605.82642024267","1514647.4518759227","310999.20137470611","375872.61253377877","565971.36583930394","672914.20120456314","1090463.0657556856","1424856.0123665421","2840079.3061064342",,,,,,,,,,,,,,,,,,,"2.83390286260332","1.5452851513522632","158200","191200","287900","342300","554700","724800","1444700"
