alpha2;year;p2;shweal992i;ahweal992i
GB;1896;p95p99;.1880031585693359;
GB;1897;p95p99;.1792520141601562;
GB;1898;p95p99;.1882291412353516;
GB;1899;p95p99;.1772095489501953;
GB;1900;p95p99;.1840861511230469;
GB;1901;p95p99;.1606059265136719;
GB;1902;p95p99;.1834109497070313;
GB;1903;p95p99;.1830580902099609;
GB;1904;p95p99;.1856073760986328;
GB;1905;p95p99;.176949462890625;
GB;1906;p95p99;.1701774597167969;
GB;1907;p95p99;.1851542663574219;
GB;1908;p95p99;.1941773223876953;
GB;1909;p95p99;.1812628173828125;
GB;1910;p95p99;.1894720458984375;
GB;1911;p95p99;.2012521362304688;184811.3307251878
GB;1912;p95p99;.1929171752929688;180444.9916893592
GB;1913;p95p99;.209783935546875;198853.7437158949
GB;1914;p95p99;.2101627349853516;212874.3069271084
GB;1919;p95p99;.2064495468139649;
GB;1920;p95p99;.2404486846923828;136465.9468857022
GB;1921;p95p99;.2103711700439453;
GB;1922;p95p99;.2103567886352539;
GB;1923;p95p99;.2191170120239258;
GB;1924;p95p99;.2220560455322266;175734.2124469434
GB;1925;p95p99;.2171556091308594;179328.1511502386
GB;1926;p95p99;.2355323791503906;197262.1118928399
GB;1927;p95p99;.2254568862915039;202459.6307909613
GB;1928;p95p99;.2363959503173828;207103.8597261554
GB;1929;p95p99;.2353619766235352;195695.6961535483
GB;1930;p95p99;.2224444580078125;205318.2416538037
GB;1931;p95p99;.2432586288452148;
GB;1932;p95p99;.2325327301025391;
GB;1933;p95p99;.2292519760131836;
GB;1934;p95p99;.2408525848388672;
GB;1935;p95p99;.2422244262695313;
GB;1936;p95p99;.2410593795776367;249245.9071799886
GB;1937;p95p99;.2427679824829101;
GB;1938;p95p99;.2341790771484375;242889.0599489449
GB;1939;p95p99;.2408726501464844;
GB;1940;p95p99;.242503662109375;
GB;1941;p95p99;.2453826904296875;
GB;1946;p95p99;.2667227935791016;
GB;1947;p95p99;.2677690887451172;
GB;1948;p95p99;.2686780548095703;
GB;1949;p95p99;.2686132431030274;
GB;1950;p95p99;.2591134643554687;224316.7916423055
GB;1951;p95p99;.2630289459228516;204485.1381609652
GB;1952;p95p99;.2588418579101562;190456.09640296
GB;1953;p95p99;.2601445770263672;170184.5341105109
GB;1954;p95p99;.2464683151245117;172478.9932037161
GB;1955;p95p99;.2428841400146484;165668.1857425052
GB;1956;p95p99;.2400609588623047;162010.6525758379
GB;1957;p95p99;.2314031219482422;164528.6705246698
GB;1958;p95p99;.2414485549926758;183557.2845625516
GB;1959;p95p99;.236132698059082;194256.7586902256
GB;1960;p95p99;.2407327270507812;191572.2315430998
GB;1961;p95p99;.2388462829589844;196558.651594257
GB;1962;p95p99;.2294106674194336;192358.2169129529
GB;1963;p95p99;.2384769439697266;216277.9348651801
GB;1964;p95p99;.2392576217651367;227034.8505625474
GB;1965;p95p99;.2424552154541016;226228.8043811839
GB;1966;p95p99;.2393408966064453;222621.1931332982
GB;1967;p95p99;.2358130645751953;231240.990558273
GB;1968;p95p99;.2395746231079102;237726.5791983381
GB;1969;p95p99;.2293759918212891;220202.256509583
GB;1970;p95p99;.2275348281860352;220057.9065743572
GB;1971;p95p99;.2267170333862305;227461.2710357726
GB;1972;p95p99;.2376780700683594;277590.6536103542
GB;1973;p95p99;.2209902191162109;271857.5671491202
GB;1974;p95p99;.227646598815918;231726.7303553198
GB;1975;p95p99;.2188663864135742;210099.0141810782
GB;1976;p95p99;.2282324981689453;202259.694083956
GB;1977;p95p99;.2226258850097656;181458.4062721111
GB;1978;p95p99;.2220328521728516;203748.342819342
GB;1979;p95p99;.2106256675720215;213499.6981757168
GB;1980;p95p99;.1959134674072266;210826.7721928512
GB;1981;p95p99;.2103587913513184;205681.9633967328
GB;1982;p95p99;.1990393829345703;210770.1963583719
GB;1983;p95p99;.1958387756347656;231691.7261890406
GB;1984;p95p99;.1860595226287842;248918.6917842489
GB;1985;p95p99;.1940857887268067;260375.5557233142
GB;1986;p95p99;.189825439453125;271174.1349812605
GB;1987;p95p99;.1982444763183594;338665.9423846076
GB;1988;p95p99;.1932938766479492;378383.8583298115
GB;1989;p95p99;.1874223709106445;382608.032494321
GB;1990;p95p99;.1746214485168457;334987.8492486255
GB;1991;p95p99;.1769020175933838;
GB;1992;p95p99;.1865135383605957;329444.3543764385
GB;1993;p95p99;.1913258361816406;338133.6203385981
GB;1994;p95p99;.1916550064086914;342574.8993607017
GB;1995;p95p99;.1840109634399414;333405.943487608
GB;1996;p95p99;.1914947128295899;342961.2754451712
GB;1997;p95p99;.2007672882080078;368972.8855229367
GB;1998;p95p99;.1926678085327148;
GB;1999;p95p99;.1846796607971191;401373.9316676686
GB;2000;p95p99;.196410026550293;455911.1870716006
GB;2001;p95p99;.1874271965026856;497637.9130299957
GB;2002;p95p99;.1972735404968262;542162.9127023948
GB;2003;p95p99;.2009326553344727;582420.4031008414
GB;2005;p95p99;.1848742866516113;569662.8444566544
GB;2006;p95p99;.1874541473388672;589139.2331445382
GB;2009;p95p99;.1976669883728027;576643.2657508012
GB;2012;p95p99;.190803165435791;564917.1134305953
GB;1895;p99.5p100;.5738331604003907;
GB;1896;p99.5p100;.5802646255493165;
GB;1897;p99.5p100;.5938310241699218;
GB;1898;p99.5p100;.5814705276489258;
GB;1899;p99.5p100;.5985541534423828;
GB;1900;p99.5p100;.5899118423461914;
GB;1901;p99.5p100;.627998275756836;
GB;1902;p99.5p100;.5847867584228515;
GB;1903;p99.5p100;.5856911849975586;
GB;1904;p99.5p100;.5768478775024414;
GB;1905;p99.5p100;.5949364089965821;
