currency;lcu_to_usd;year
ISK;6,137582e+01;2004
JMD;6,122802e+01;2004
JOD;7,090100e-01;2004
JPY;1,025889e+02;2004
KES;7,960442e+01;2004
KGS;4,143880e+01;2004
KHR;3,848987e+03;2004
KMF;3,611835e+02;2004
KPW;2,200088e+00;2004
KRW;1,034456e+03;2004
KWD;2,947310e-01;2004
KZT;1,299978e+02;2004
LAK;1,083722e+04;2004
LBP;1,513130e+03;2004
LKR;1,046508e+02;2004
LRD;4,700183e+01;2004
LSL;5,639993e+00;2004
LTL;2,534909e+00;2004
LVL;5,136430e-01;2004
LYD;1,297843e+00;2004
MAD;8,210651e+00;2004
MDL;1,234165e+01;2004
MKD;4,505132e+01;2004
MMK;5,497219e+00;2004
MNT;1,215461e+03;2004
MOP;8,008033e+00;2004
MRO;2,628563e+02;2004
MTL;3,202780e-01;2004
MUR;2,821617e+01;2004
MVR;1,228500e+01;2004
MWK;1,079331e+02;2004
MXN;1,115995e+01;2004
MYR;3,800956e+00;2004
NAD;5,639993e+00;2004
NGN;1,325183e+02;2004
NIO;1,618167e+01;2004
NOK;6,055757e+00;2004
NPR;7,074984e+01;2004
NZD;1,386737e+00;2004
OMR;3,844970e-01;2004
PAB;1,000000e+00;2004
PEN;3,279349e+00;2004
PGK;3,067611e+00;2004
PHP;5,619766e+01;2004
PKR;5,960528e+01;2004
PLN;2,998679e+00;2004
PYG;6,109551e+03;2004
QAR;3,640000e+00;2004
RON;2,899533e+00;2004
RUB;2,782118e+01;2004
RWF;5,535806e+02;2004
SAR;3,750185e+00;2004
SBD;7,247607e+00;2004
SCR;5,464530e+00;2004
SEK;6,636186e+00;2004
SGD;1,633346e+00;2004
SHP;5,196100e-01;2004
SIT;1,754121e+02;2004
SKK;2,855246e+01;2004
SLL;2,429855e+03;2004
SOS;3,090806e+03;2004
STD;9,046221e+03;2004
SVC;8,751917e+00;2004
SYP;5,211498e+01;2004
SZL;5,639898e+00;2004
THB;3,889890e+01;2004
TJS;2,785023e+00;2004
TND;1,197711e+00;2004
TOP;1,917001e+00;2004
TRY;1,348065e+00;2004
TTD;6,237750e+00;2004
TWD;3,175269e+01;2004
TZS;1,035750e+03;2004
UAH;5,301402e+00;2004
UGX;1,734757e+03;2004
USD;1,000000e+00;2004
UYU;2,623101e+01;2004
UZS;1,056765e+03;2004
VEF;1,916042e+00;2004
VND;1,577002e+04;2004
VUV;1,064052e+02;2004
WST;2,690981e+00;2004
XAF;4,820826e+02;2004
XCD;2,692703e+00;2004
XDR;6,461950e-01;2004
XOF;4,820826e+02;2004
XPF;8,767041e+01;2004
YER;1,837950e+02;2004
ZAR;5,642737e+00;2004
ZMK;4,701027e+03;2004
ZWD;5,662412e+03;2004
AED;3,672750e+00;2005
ALL;1,037005e+02;2005
AMD;4,432924e+02;2005
ANG;1,785000e+00;2005
ARS;3,028571e+00;2005
AUD;1,364509e+00;2005
AWG;1,790000e+00;2005
BBD;2,000000e+00;2005
BDT;6,647853e+01;2005
BGN;1,663887e+00;2005
BHD;3,765000e-01;2005
BIF;1,051939e+03;2005
BMD;1,000000e+00;2005
BND;1,665526e+00;2005
BOB;8,036086e+00;2005
BRL;2,348806e+00;2005
BSD;1,000000e+00;2005
BTN;4,597432e+01;2005
BWP;5,097059e+00;2005
