currency,lcu_to_usd,year
NGN,128.48463,2006
NIO,17.828612,2006
NOK,6.241603,2006
NPR,69.851844,2006
NZD,1.424346,2006
OMR,0.384497,2006
PAB,1,2006
PEN,3.194719,2006
PGK,2.934972,2006
PHP,49.214596,2006
PKR,60.872061,2006
PLN,2.908884,2006
PYG,5285.844089,2006
QAR,3.64,2006
RON,2.571642,2006
RUB,26.210187,2006
RWF,549.230334,2006
SAR,3.75025,2006
SBD,7.376724,2006
SCR,5.446882,2006
SEK,6.854885,2006
SGD,1.537571,2006
SHP,0.509986,2006
SIT,182.470075,2006
SKK,26.263771,2006
SLL,2974.994875,2006
SOS,1378.998276,2006
STD,6780.039571,2006
SVC,8.750688,2006
SYP,52.992947,2006
SZL,6.976776,2006
THB,35.871549,2006
TJS,3.213791,2006
TND,1.297298,2006
TOP,2.050339,2006
TRY,1.416469,2006
TTD,6.2505,2006
TWD,32.606475,2006
TZS,1263.094753,2006
UAH,5.040087,2006
UGX,1738.995995,2006
USD,1,2006
UYU,27.052293,2006
UZS,1240.364465,2006
VEF,2.15,2006
VND,16044.445103,2006
VUV,106.049758,2006
WST,2.766637,2006
XAF,495.357043,2006
XCD,2.66748,2006
XDR,0.665508,2006
XOF,498.109543,2006
XPF,93.079366,2006
YER,195.724491,2006
ZAR,7.017755,2006
ZMK,4390.892487,2006
ZWD,251.259462,2006
AED,3.6726,2007
ALL,82.692923,2007
AMD,304.963711,2007
ANG,1.7825,2007
AOA,74.813462,2007
ARS,3.146665,2007
AUD,1.139039,2007
AWG,1.79025,2007
BBD,2,2007
BDT,68.289553,2007
BGN,1.328589,2007
BHD,0.376,2007
BIF,1084.116583,2007
BMD,1,2007
BND,1.488207,2007
BOB,7.57599,2007
BRL,1.770402,2007
BSD,1,2007
BTN,39.283857,2007
BWP,6.168736,2007
BYR,2150.111777,2007
BZD,1.9875,2007
CAD,0.987034,2007
CDF,543.220709,2007
CHF,1.130203,2007
CLP,497.827726,2007
CNY,7.301695,2007
COP,2016.232131,2007
CRC,496.462736,2007
CVE,74.901162,2007
CYP,0.398328,2007
CZK,18.106342,2007
DJF,177.721,2007
DKK,5.085786,2007
DOP,33.207038,2007
DZD,66.565062,2007
EEK,10.57687,2007
EGP,5.525868,2007
ETB,9.039896,2007
EUR,0.684128,2007
FJD,1.556274,2007
FKP,0.500983,2007
GBP,0.501867,2007
GEL,1.587851,2007
GIP,0.498166,2007
GMD,24.769432,2007
GNF,4266.422116,2007
GTQ,7.629579,2007
GYD,203.180821,2007
HKD,7.798305,2007
HNL,18.905,2007
HRK,4.980744,2007
HTG,37.191519,2007
HUF,172.574449,2007
IDR,9402.86586,2007
IEP,0.666437,2007
ILS,3.843839,2007
INR,39.35394,2007
IQD,1213.945001,2007
IRR,9331.067619,2007
ISK,62.427824,2007
JMD,70.996541,2007
JOD,0.7095,2007
JPY,111.808433,2007
KES,63.747009,2007
KGS,35.470741,2007
KHR,3951.632505,2007
KMF,334.194688,2007
KPW,142.464135,2007
KRW,936.013535,2007
KWD,0.273178,2007
KZT,120.658705,2007
LAK,9348.980576,2007
LBP,1511.215805,2007
LKR,108.641005,2007
LRD,61.502692,2007
LSL,6.816115,2007
LTL,2.345493,2007
LVL,0.475241,2007
LYD,1.219052,2007
MAD,7.71191,2007
MDL,11.340019,2007
MGA,1791.315034,2007
